year,month,state,gender,value
2036,October,West Bengal,Total,43964
2036,October,West Bengal,Male,22615
2036,October,West Bengal,Female,21349
2036,October,Uttarakhand,Total,5506
2036,October,Uttarakhand,Male,2922
2036,October,Uttarakhand,Female,2583
2036,October,Uttar Pradesh,Total,67511
2036,October,Uttar Pradesh,Male,35645
2036,October,Uttar Pradesh,Female,31866
2036,October,Tripura,Total,2499
2036,October,Tripura,Male,1266
2036,October,Tripura,Female,1232
2036,October,Telangana,Total,22817
2036,October,Telangana,Male,11483
2036,October,Telangana,Female,11334
2036,October,Tamil Nadu,Total,46767
2036,October,Tamil Nadu,Male,23383
2036,October,Tamil Nadu,Female,23383
2036,October,Sikkim,Total,576
2036,October,Sikkim,Male,301
2036,October,Sikkim,Female,275
2036,October,Rajasthan,Total,25950
2036,October,Rajasthan,Male,13558
2036,October,Rajasthan,Female,12392
2036,October,Punjab,Total,15329
2036,October,Punjab,Male,8175
2036,October,Punjab,Female,7153
2036,October,Puducherry,Total,1588
2036,October,Puducherry,Male,778
2036,October,Puducherry,Female,810
2036,October,Odisha,Total,10508
2036,October,Odisha,Male,5439
2036,October,Odisha,Female,5069
2036,October,Nagaland,Total,1606
2036,October,Nagaland,Male,842
2036,October,Nagaland,Female,764
2036,October,Mizoram,Total,796
2036,October,Mizoram,Male,398
2036,October,Mizoram,Female,397
2036,October,Meghalaya,Total,788
2036,October,Meghalaya,Male,394
2036,October,Meghalaya,Female,394
2036,October,Manipur,Total,1284
2036,October,Manipur,Male,634
2036,October,Manipur,Female,650
2036,October,Maharashtra,Total,71643
2036,October,Maharashtra,Male,37647
2036,October,Maharashtra,Female,33996
2036,October,Madhya Pradesh,Total,29923
2036,October,Madhya Pradesh,Male,15601
2036,October,Madhya Pradesh,Female,14322
2036,October,Lakshadweep,Total,71
2036,October,Lakshadweep,Male,37
2036,October,Lakshadweep,Female,34
2036,October,Ladakh,Total,131
2036,October,Ladakh,Male,86
2036,October,Ladakh,Female,45
2036,October,Kerala,Total,35903
2036,October,Kerala,Male,17170
2036,October,Kerala,Female,18733
2036,October,Karnataka,Total,36794
2036,October,Karnataka,Male,18744
2036,October,Karnataka,Female,18050
2036,October,Jharkhand,Total,12924
2036,October,Jharkhand,Male,6766
2036,October,Jharkhand,Female,6157
2036,October,Jammu and Kashmir,Total,5043
2036,October,Jammu and Kashmir,Male,2730
2036,October,Jammu and Kashmir,Female,2312
2036,October,Himachal Pradesh,Total,829
2036,October,Himachal Pradesh,Male,447
2036,October,Himachal Pradesh,Female,382
2036,October,Haryana,Total,17294
2036,October,Haryana,Male,9233
2036,October,Haryana,Female,8061
2036,October,Gujarat,Total,45154
2036,October,Gujarat,Male,24018
2036,October,Gujarat,Female,21136
2036,October,Goa,Total,1478
2036,October,Goa,Male,756
2036,October,Goa,Female,722
2036,October,Delhi,Total,26829
2036,October,Delhi,Male,14362
2036,October,Delhi,Female,12467
2036,October,Daman and Diu,Total,2052
2036,October,Daman and Diu,Male,1748
2036,October,Daman and Diu,Female,305
2036,October,Dadra and Nagar Haveli,Total,1428
2036,October,Dadra and Nagar Haveli,Male,849
2036,October,Dadra and Nagar Haveli,Female,579
2036,October,Chhattisgarh,Total,10773
2036,October,Chhattisgarh,Male,5507
2036,October,Chhattisgarh,Female,5265
2036,October,Chandigarh,Total,1365
2036,October,Chandigarh,Male,749
2036,October,Chandigarh,Female,616
2036,October,Bihar,Total,19923
2036,October,Bihar,Male,10513
2036,October,Bihar,Female,9409
2036,October,Assam,Total,6815
2036,October,Assam,Male,3502
2036,October,Assam,Female,3313
2036,October,Arunachal Pradesh,Total,495
2036,October,Arunachal Pradesh,Male,262
2036,October,Arunachal Pradesh,Female,233
2036,October,Andhra Pradesh,Total,24486
2036,October,Andhra Pradesh,Male,12323
2036,October,Andhra Pradesh,Female,12163
2036,October,Andaman and Nicobar Islands,Total,214
2036,October,Andaman and Nicobar Islands,Male,114
2036,October,Andaman and Nicobar Islands,Female,100
2036,October,All India,Total,599048
2036,October,All India,Male,310997
2036,October,All India,Female,288051
2036,March,West Bengal,Total,43658
2036,March,West Bengal,Male,22458
2036,March,West Bengal,Female,21200
2036,March,Uttarakhand,Total,5449
2036,March,Uttarakhand,Male,2892
2036,March,Uttarakhand,Female,2557
2036,March,Uttar Pradesh,Total,67081
2036,March,Uttar Pradesh,Male,35418
2036,March,Uttar Pradesh,Female,31663
2036,March,Tripura,Total,2460
2036,March,Tripura,Male,1247
2036,March,Tripura,Female,1213
2036,March,Telangana,Total,22733
2036,March,Telangana,Male,11441
2036,March,Telangana,Female,11292
2036,March,Tamil Nadu,Total,46554
2036,March,Tamil Nadu,Male,23277
2036,March,Tamil Nadu,Female,23277
2036,March,Sikkim,Total,566
2036,March,Sikkim,Male,296
2036,March,Sikkim,Female,270
2036,March,Rajasthan,Total,25765
2036,March,Rajasthan,Male,13461
2036,March,Rajasthan,Female,12304
2036,March,Punjab,Total,15227
2036,March,Punjab,Male,8121
2036,March,Punjab,Female,7106
2036,March,Puducherry,Total,1568
2036,March,Puducherry,Male,768
2036,March,Puducherry,Female,800
2036,March,Odisha,Total,10434
2036,March,Odisha,Male,5401
2036,March,Odisha,Female,5033
2036,March,Nagaland,Total,1581
2036,March,Nagaland,Male,829
2036,March,Nagaland,Female,752
2036,March,Mizoram,Total,791
2036,March,Mizoram,Male,396
2036,March,Mizoram,Female,395
2036,March,Meghalaya,Total,784
2036,March,Meghalaya,Male,392
2036,March,Meghalaya,Female,392
2036,March,Manipur,Total,1274
2036,March,Manipur,Male,629
2036,March,Manipur,Female,645
2036,March,Maharashtra,Total,71225
2036,March,Maharashtra,Male,37428
2036,March,Maharashtra,Female,33797
2036,March,Madhya Pradesh,Total,29730
2036,March,Madhya Pradesh,Male,15501
2036,March,Madhya Pradesh,Female,14229
2036,March,Lakshadweep,Total,71
2036,March,Lakshadweep,Male,37
2036,March,Lakshadweep,Female,34
2036,March,Ladakh,Total,129
2036,March,Ladakh,Male,85
2036,March,Ladakh,Female,44
2036,March,Kerala,Total,35630
2036,March,Kerala,Male,17040
2036,March,Kerala,Female,18590
2036,March,Karnataka,Total,36511
2036,March,Karnataka,Male,18600
2036,March,Karnataka,Female,17911
